Module,N_total,N_OS_Q15,mean_OS_Q15,sd_OS_Q15,N_AP_Q18,mean_AP_Q18,sd_AP_Q18,N_KT_Q34,mean_KT_Q34,sd_KT_Q34,N_JR_Q33,mean_JR_Q33,sd_JR_Q33,N_REC_Q36,mean_REC_Q36,sd_REC_Q36,NPS_Q36
CSP001,64,64,6.31,0.69,64,6.11,1.04,64,5.09,1.44,64,5.39,1.59,64,8.39,1.84,39.06
CSP002,43,43,6.72,0.55,43,6.6,0.82,43,5.88,1.35,42,5.98,1.57,43,9.0,1.48,65.12
CSP003,77,77,5.78,1.58,76,5.96,1.26,76,5.24,1.84,77,5.38,1.86,75,8.08,2.62,41.33
CSP004,145,142,6.34,0.91,144,6.33,0.88,142,5.7,1.27,143,5.88,1.24,145,8.68,1.68,53.79
CSP005,139,137,6.24,1.07,136,6.37,0.89,139,5.48,1.6,139,5.78,1.45,138,8.59,1.93,52.9
CSP006,94,92,6.25,0.93,94,6.26,0.98,94,5.71,1.36,94,5.76,1.51,94,8.6,1.55,47.87
CSP007,56,55,6.53,0.79,56,6.55,0.74,55,6.22,1.15,56,6.12,1.16,56,9.12,1.21,69.64
CSP008,14,14,6.36,0.84,14,6.21,0.97,14,5.86,1.17,14,5.71,1.07,12,8.75,1.42,41.67
CSP010,70,70,6.36,1.08,70,6.44,1.02,69,6.04,1.39,70,6.07,1.35,68,8.82,1.84,57.35
CSP011,71,71,5.85,1.35,70,5.96,1.06,71,5.51,1.52,71,5.54,1.5,71,7.93,2.18,28.17
CSP012,41,39,6.33,0.9,41,6.32,0.88,40,6.02,1.29,41,6.15,1.2,41,8.61,2.06,53.66
