SurveyID,SurveyTitle,ResponseID,Module Type,Training Level,Module Title,Tools Used,Certificate Of Attendance,(Estimated) male learners enrolled,(Estimated) female learners enrolled,(Estimated) non-binary learners enrolled,Number of learners cybersecurity self-trained,Students Successfully Completed,EduBackgroundLessThanHighschool,EduBackgroundHighSchoolDiploma,EduBackgroundCollegeNoDegree,EduBackgroundUndergraduate,EduBackgroundMaster,EduBackgroundPhD,EduBackgroundOther,People Reporting Improved Employment Situation,Recommendations For Best Practices,Recommendations For Expanding,Recommendations For Future Initiatives,Q15_Value,Q15_Text,Q16_Value,Q16_Text,Q17_Value,Q17_Text,Q18_Value,Q18_Text,Q19_Value,Q19_Text,Q20_Value,Q20_Text,Q21_Value,Q21_Text,Q22_Value,Q22_Text,Q23_Value,Q23_Text,Q24_Value,Q24_Text,Q25_Value,Q25_Text,Q26_Value,Q26_Text,Q27_Value,Q27_Text,Q28_Value,Q28_Text,Q29_Value,Q29_Text,Q30_Value,Q30_Text,Q31_Value,Q31_Text,Q32_Value,Q32_Text,Q33_Value,Q33_Text,Q34_Value,Q34_Text,Q35_Value,Q35_Text,Q36_Value,Q36_Text,Q37_Value,Q38_Value
9,Introduction to Cybersecurity,21,Course (C),Basic,CSP001 - Cybersecurity Essentials and Management,"Wireshark, Asecuritysite, Cryptii, Veracrypt, OpenSSL, Kahoot, Videos, md5hashgenerator","Yes, Other",46,9,0,28,55,0,2,10,20,17,4,0,,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,,,,,,,,,,,7,7 - Very Satisfied,7,7 - Very Satisfied,,,,,,,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,7,7,I had a nice experience,I don't have any further comments
9,Introduction to Cybersecurity,54,Course (C),Basic,CSP001 - Cybersecurity Essentials and Management,"Wireshark, Asecuritysite, Cryptii, Veracrypt, OpenSSL, Kahoot, Videos, md5hashgenerator","Yes, Other",46,9,0,28,55,0,2,10,20,17,4,0,,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,,,,,,,,,,,6,6 - Satisfied,6,6 - Satisfied,,,,,,,6,6 - Very Relevant,5,5 - To a Fairly Large Extent,7,7 - Extremely Likely,8,8,,
9,Introduction to Cybersecurity,55,Course (C),Basic,CSP001 - Cybersecurity Essentials and Management,"Wireshark, Asecuritysite, Cryptii, Veracrypt, OpenSSL, Kahoot, Videos, md5hashgenerator","Yes, Other",46,9,0,28,55,0,2,10,20,17,4,0,,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,It would be recommended to provide a slot (for example of 1h) before starting the first module so that the trainer (of this module) can have time to manage his/her module in the best way. ,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,,,,,,,,,,,6,6 - Satisfied,6,6 - Satisfied,,,,,,,6,6 - Very Relevant,5,5 - To a Fairly Large Extent,7,7 - Extremely Likely,8,8,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,25,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,5,5 - Moderately Relevant,7,7 - To a Very Large Extent,6,6 - Likely,10,10 - Extremely likely,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,27,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,Very nice,Great experience
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,28,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,,,6,6 - Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Very Relevant,5,5 - To a Fairly Large Extent,6,6 - Likely,8,8,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,32,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,5,5 - Moderately Relevant,5,5 - To a Fairly Large Extent,6,6 - Likely,8,8,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,34,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,36,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,5,5 - Somewhat Satisfied,4,4 - Neutral,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,4,4 - Neutral,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Moderately Relevant,4,4 - To a Moderate Extent,4,4 - Neutral,,,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,37,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,5,5 - Moderately Relevant,6,6 - To a Large Extent,5,5 - Slightly Likely,10,10 - Extremely likely,,
