SurveyID,SurveyTitle,ResponseID,DateTime,"Module Type",Sector,"Training Level","Languages Spoken","Module Title","Location Physical Country","Tools Used","Actions To Attract Learners","Certificate Of Attendance","Duration Of Implemented Module","Location Of Materials","Materials Used","(Estimated) male learners enrolled","(Estimated) female learners enrolled","(Estimated) non-binary learners enrolled","Number of learners cybersecurity self-trained","Students Successfully Completed",EduBackgroundLessThanHighschool,EduBackgroundHighSchoolDiploma,EduBackgroundCollegeNoDegree,EduBackgroundUndergraduate,EduBackgroundMaster,EduBackgroundPhD,EduBackgroundOther,"General Feedback From Trainers","Recommendations For Best Practices","Recommendations For Expanding","Recommendations For Future Initiatives",Q1_Value,Q1_Text,Q2_Value,Q2_Text,Q3_Value,Q3_Text,Q4_Value,Q4_Text,Q5_Value,Q5_Text,Q6_Value,Q6_Text,Q18_Value,Q18_Text,Q7_Value,Q7_Text,Q8_Value,Q8_Text,Q9_Value,Q9_Text,Q10_Value,Q10_Text,Q11_Value,Q11_Text,Q12_Value,Q12_Text,Q13_Value,Q13_Text,Q19_Value,Q14_Value,Q14_Text,Q15_Value,Q16_Value,Q17_Value
1,"Trainer Survey",56,"2025-08-11 13:58:18","Seminar (S)",Health,Basic,"Serbian (Latin)","CSP007 - Cybersecurity in Emerging Technologies",Serbia,"pyspark
pytorch
scikit-learn
wireshark,
cicFlowmeter
google colabs",None,"Yes, only for full attendance",3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=9,"We used powerpoint presentations to explain theoretical concepts. All material used in this modul can be found on the project's DCM in side of training module page. Those presentations are created only for the purpose of this  training module. Presentations are available on those links too:
https://docs.google.com/presentation/d/13NAfsv3rdlGoEpPLhh-U1ZkxMnft6HoQ/edit?usp=sharing&ouid=115712590512614580088&rtpof=true&sd=true

https://docs.google.com/presentation/d/1c7BGMD49Ehe76h4ELeGjaV8L_DpjB-Zm/edit?usp=sharing&ouid=115712590512614580088&rtpof=true&sd=true

https://docs.google.com/presentation/d/1iS8zwDjeehBRfGiTSfSTPjqvuCCoeaTQ/edit?usp=sharing&ouid=115712590512614580088&rtpof=true&sd=true

Also, we created several practical exercises also only for the purpose of this training modules. Links to google colab notebooks are here:
https://colab.research.google.com/drive/1vvMNB08VhdqAMrwIcnt-TgSodfK4YpGa?usp=sharing

https://colab.research.google.com/drive/1BCTJdaStef7ymktw1FmzR-1kQwpcPQ3B?usp=sharing

https://colab.research.google.com/drive/1g8b2C4Wk1eJE7GsGEcdoWC8_afVRr-X0?usp=sharing
",5,2,0,2,7,0,0,0,7,0,0,0,https://drive.google.com/file/d/1netWp1PpmVMXkpOvepPBmQ9b8oHa2BdZ/view?usp=drive_link,"We need to find dataset which is more oriented to health sector infrastructure. This can be hard task, as such datasets are usually  not freely available
More time is needed if trainees are not familiar with basic idea of machine learning
Also, it is expected that trainees are familiar with Python programming language and machine learning, otherwise they will not be able to solve practical assignments by themselves.
","Promote training module on various summer/winter's  school as its focus is more on practical side of anomaly detection.","Incorporate the latest trends, tools, and threat landscapes to ensure participants are equipped to handle current and emerging cybersecurity threats.
Implement regular testing and certifications to evaluate skill levels and identify areas requiring further development.
Encourage team-based exercises and knowledge-sharing forums to build a community of learners who can exchange ideas and strategies.",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",5,"5 - To a Fairly Large Extent",6,"6 - Most trainees",,,,,,,6,"6 - Satisfied",4,"4 - Neutral",6,"6 - To a Large Extent",8,8,,6,"6 - Likely","I ran into a very common workshop challenge — too many participants with varying skill levels and not enough structure for everyone to keep up, especially with something as technical as autoencoders for anomaly detection.
In the future:
- give them a working notebook that already runs end-to-end with minimal code changes needed (e.g., only changing a few parameters).
- add “challenge cells” where more advanced students can modify architecture, play with hyperparameters, or try alternative approaches (e.g., variational autoencoder).
-  have one or two assistants in the room to help those who fall behind","practical part of module",
100,"Trainer Survey",41,"2025-07-11 15:10:24","Seminar (S)",Energy,Advanced,"English, Greek","CSP003 - Cybersecurity Risk Management and Governance",Cyprus,N/A,None,"Yes, only for full attendance",8.00,https://moodle.cybersecpro.grisenergia.pt/enrol/index.php?id=84,https://moodle.cybersecpro.grisenergia.pt/enrol/index.php?id=84,12,4,0,2,16,0,0,0,8,7,1,0,"CyberSecPro Training Module Evaluation document - Trainers  - WP5 form ","Extend the duration of the module, in order to cover more risk related exercises. 
","We believe that the collaboration with the National Digital Security Authority, was a very good practice. 
They already have a list of interested parties related to this specific sector and a training offered by them, is more attractive than any typical education provider.","Extend the partnerships to cover also other entities (not only the national authority). ",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",,,,,,,6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Provide further theoretical resources 
Identify possible dependencies or pre-requisites with other CSP modules","Provide more time
Add more interactive activities.",
102,"Trainer Survey",6,"2025-05-06 15:26:48","Seminar (S)",Energy,Basic,English,"CSP003 - Cybersecurity Risk Management and Governance","Unknown Country","SATRA tool/service.","We have announced the course between students (e.g., internal forums) and social medial.",No,2.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=17,"The materials have been elaborated according to trainers' experience and knowledge. ",15,2,0,0,11,0,0,0,2,4,0,0,"These forms correspond to those established in D3.1. More particularly:
Analysis: https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=448
Responses: https://moodle.cybersecpro.grisenergia.pt/mod/feedback/show_entries.php?id=448","Not for now.","Not recommendations for the moment. 
","Not recommendations for the moment. ",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Moderately Relevant",4,"4 - To a Moderate Extent",4,"4 - To a Moderate Extent",,,5,"5 - Somewhat Satisfied",4,"4 - Neutral",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",4,"4 - To a Moderate Extent",7,7,,6,"6 - Likely","Clarify the interface. Increase the range of possible test exercises. A more organised scheduling capability.","Better alignment with other relevant modules. Some practical exercises (but this will require extending the duration of the course)",
106,"Trainer Survey",68,"2026-02-15 22:13:03","Workshop (W)",General,Basic,English,"CSP009 - Software Security","Unknown Country","Burp Suite  
DirBuster  
Nikto  
sqlmap  
w3af  
WebSploit  
ZAP
","none ",No,0.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=71,"no ",10,3,0,0,13,0,0,0,13,0,0,0,"no ","no need ","Partner with industry","Implement Standard Cybersecurity Framework",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",4,"4 - About half of them",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",5,"5 - Somewhat Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,6,"6 - Likely","nothing to add here","everything was good",
107,"Trainer Survey",70,"2026-02-15 22:23:14","Workshop (W)",Maritime,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat
",None,No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=82,"no extra materials that are funded from the CSP",15,10,0,5,25,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no need ","no need ","no need ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",5,"5 - To a Fairly Large Extent",5,"5 - To a Fairly Large Extent",5,"5 - Many trainees",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - To a Fairly Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely",,,
108,"Trainer Survey",71,"2026-02-15 22:23:53","Workshop (W)",General,Advanced,English,"CSP011 - Cyber Ranges and Operations","Unknown Country","Bloodhound
Sentinel
Wazuh
","NOne ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=80,no,8,2,0,5,10,0,0,0,5,5,0,0,"no available link ","no need ","no need ","no need ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",6,"6 - To a Large Extent",5,"5 - To a Fairly Large Extent",6,"6 - Most trainees",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",5,"5 - To a Fairly Large Extent",9,9,,6,"6 - Likely",,,
109,"Trainer Survey",72,"2026-02-15 22:24:37","Workshop (W)",Health,Basic,English,"CSP009 - Software Security",Greece,"Burp Suite  
DirBuster  
Nikto  
sqlmap  
w3af  
WebSploit  
ZAP","None ",No,8.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=70,"no extra materials used ",15,7,0,5,22,0,0,0,22,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Continuously update the module with the latest cybersecurity trends","Partner with industry","no need",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - To a Very Large Extent",9,9,,7,"7 - Extremely Likely",,,
110,"Trainer Survey",73,"2026-02-15 22:25:16","Workshop (W)",Health,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat
","None ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=79,"no ",15,10,0,5,25,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no need ","no need ","no need ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",6,"6 - Most trainees",5,"5 - Somewhat Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",5,"5 - Somewhat Satisfied",5,"5 - Somewhat Satisfied",6,"6 - To a Large Extent",7,7,,6,"6 - Likely",,,
111,"Trainer Survey",74,"2026-02-15 22:25:55","Workshop (W)",Health,Advanced,English,"CSP011 - Cyber Ranges and Operations","Unknown Country","Bloodhound
Sentinel
Wazuh","None ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=81,"no extra materials ",15,10,5,0,30,0,0,5,10,15,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Continuously update the module with the latest cybersecurity trends","no need","no need ",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",7,"7 - To a Very Large Extent",6,"6 - Most trainees",7,"7 - Very Satisfied",7,"7 - Very Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,6,"6 - Likely",,,
112,"Trainer Survey",69,"2026-02-15 22:21:34","Seminar (S)",Maritime,Basic,English,"CSP009 - Software Security",Greece,"Burp Suite  
DirBuster  
Nikto  
sqlmap  
w3af  
WebSploit  
ZAP","None ",No,8.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=71,"no extra materials except from the training material ",20,5,0,5,25,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Continuously update the module with the latest cybersecurity trends","Promote the module through targeted marketing","Implement Standard Cybersecurity Framework",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",4,"4 - To a Moderate Extent",5,"5 - Many trainees",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - To a Fairly Large Extent",9,9,,7,"7 - Extremely Likely",,,
